A391;RONDA NORTE
A392;ALFAHUIR ENTRADA - EMILIO BARO
A393;P.I. RONDA NORTE
A394;ALFAHUIR (SALIDA)
A395;C/ RUAYA
A396;C/ PINTOR MAELLA
A397;REUS
A398;HERMANOS MACHADO
A399;HERMANOS MACHADO
A402;AV. BALEARES
A403;CAMINO DE MONCADA DE ENTRADA
A404;CAMINO DE MONCADA DE SALIDA
A405;P.I. ANTONIO FERRANDIS
A406;PROLONGACION JUAN XXIII
A407;AVDA. DEL LEVANTE U.D.(entre Av. de Ecuador  y Juan XXIII)
A408;ANTONIO FERRANDIS (entre Ausias March y General Urrutia)
A409;CAMINO DE LAS MORERAS (Entre Autopista del Saler y Paso elevado ferrocarril)
A410;AUTOPISTA DEL SALER (entre Avda. de la Plata y Puente de Monteolivete)
A411;MENORCA
A412;PONT DE L' ASSUT DE L' OR
A413;MENORCA
A414;INGENIERO FAUSTO ELIO
A415;SANTOS JUSTO Y PASTOR
A416;AV. NARANJOS
A417;P.I. AV. CATALUNA + P.I. CLARIANO
A418;ACCESO BARCELONA (PASO INFERIOR DE SALIDA)
A419;P.I. AV. CATALUNA + P.I. CLARIANO
A42;AYORA
A420;AV. TRES CRUCES (Entre Campos Crespo y Gaspar Aguilar)
A421;AV. TRES CRUCES (Entre Camino Nuevo de Picaña y Campos Crespo)
A422;AV. CORTES VALENCIANAS
A423;PASEO DE LA ALAMEDA
A424;AVDA. FRANCIA
A425;CAMPOS CRESPO (Entre Tres Cruces y Fray Junípero Serra)
A426;PIO XI (de Fray Junípero Serra a Fontanares)
A427;PONT DE FUSTA ( de Cronista Rivelles a Conde Trenor)
A43;BARCAS - PINTOR SOROLLA
A44;BARON DE CARCER
A45;BARON DE CARCER
A46;BLANQUERIAS
A47;BLASCO IBANEZ
A48;BLASCO IBANEZ
A49;BLASCO IBANEZ
A5;ACCESO BARCELONA
A50;BLASCO IBANEZ
A51;BLASCO IBANEZ
A52;BLASCO IBANEZ
A53;BOTANICO CABANILLES
A54;BRASIL
A55;CADIZ
A56;CAMINO DE MONCADA
A57;CAMINO DEL CABANAL
A58;CAMINO NUEVO DE PICANYA
A59;ACCESO A ARCHIDUQUE CARLOS POR CAMINO NUEVO DE PICANYA
A6;ACCESO ADEMUZ
A60;CAMP DE TURIA
A61;CAMPANAR
A62;CAMPANAR
A64;CARDENAL BENLLOCH
A65;CARDENAL BENLLOCH
A66;CARRERA DE SAN LUIS
A68;CENTELLES
A69;AV. DEL CID
A7;PASEO DE LA ALAMEDA
A70;AV. DEL CID
A71;AV. DEL CID
A72;AV. DEL CID
A73;CISCAR
A74;CLARIANO
A76;COLON
A77;COLON
A78;CONDE TRENOR
A79;CONSTITUCION
A8;PASEO DE LA ALAMEDA
A80;CONSTITUCION
A81;CORTES VALENCIANAS
A82;CORTES VALENCIANAS (ACCESO POR CV-35)
A83;CUENCA
A84;CUENCA
A85;CUENCA
A86;CUENCA
A87;DOCTOR GOMEZ FERRER
A88;DOCTOR LLUCH
A89;DOCTOR LLUCH
A9;PASEO DE LA ALAMEDA
A90;DOCTOR LLUCH
A91;DOCTOR MANUEL CANDELA
A92;DOCTOR MANUEL CANDELA
A93;DOCTOR MARCOS SOPENA
A94;DOCTOR MOLINER
A95;DOCTOR PESET ALEIXANDRE
A96;DOCTOR PESET ALEIXANDRE
A97;DOCTOR PESET ALEIXANDRE
A98;DOLORES MARQUES
A99;EDUARDO BOSCA
B1;ACACIAS
B10;BARON DE SAN PETRILLO
B100;SERPIS
B101;SIERRA AGULLENT
B102;SORNÍ
B103;TAMARINDOS
B104;TENERIFE
B105;TORRES
B106;VICENTE GALLART
B107;VICENTE GUILLOT
B108;VICENTE LA RODA
B109;VIRGEN DE LA CABEZA
B11;BENICADELL
B110;VIRGEN DEL SUFRAGIO
B111;ANTONIO FERRANDIS (Entre Autopista Saler y General Urrutia)
B113;MENDIZABAL
B114;PINTOR FERRANDIS, 60
B115;ALAMEDA (DE MENORCA A IBIZA)
B116;JUAN XXIII - ROTONDA
B117;GENERAL AVILES
B118;MOLINELL
B119;ACTOR MORA
B12;BILBAO
B120;ACTOR MORA
B121;AMPARO ITURBI
B122;ARQUITECTO ALFARO
B123;PADRE ANTON MARTÍN
B124;MENDIZABAL
B125;CUARTELL
B126;SIERRA AGULLENT
B127;DOCTOR VICENTE ZARAGOZ
B13;BORRULL
B14;BURRIANA
B15;CALIXTO III
B16;CAMPOAMOR
B17;CANAL DE NAVARRES
B18;CARRASQUETA
B19;CARTAGENA
B2;ACTOR MORA
B20;CASTIELFABIG
B21;CAVITE
B23;COETERS
B24;COFRENTES
B26;CONDE SALVATIERRA
B27;CONVENTO CARMELITAS
B28;CUARTELL
B29;CUENCA TRAMOYERES
B3;ALAMEDA, NUEVA PROLONGACION DEL PASEO
B30;CURA PLANELLES
B31;DELS PORTS
B32;DOCTOR PEREZ FELIU
B33;DOCTOR VICENTE ZARAGOZ
B34;DUQUE DE CALABRIA
B35;EBANISTA CASELLES
B36;ENGUERA
B37;ERUDITO ORELLANA
B38;ESCULTOL ALFONSO GABINO
B39;ESCULTOR JOSE CAPUZ
B4;ALMIRANTE CADARSO
B40;EXPLORADOR ANDRES
B41;FELIX PIZCUETA
B42;FINLANDIA
B43;FRANCIA
B44;FRAY JUNÍPERO SERRA
B45;FRAY PEDRO VIVES
B46;FUENTE ENCARROZ
B47;FUERTEVENTURA
B48;GARBÍ
B49;GRABADOR ENGUIDANOS
B5;AMPARO GUILLEM
B51;GREGORIO MAYANS
B52;HABANA
B54;HISTORIADOR COLOMA
B55;L' HORTA SUD
B56;IBIZA
B57;JACA
B59;JATIVA
B6;AMPARO ITURBI
B60;JOAQUÍN COSTA
B61;JOSE AGUIRRE
B62;JOSE BENLLIURE
B63;JOSE GROLLO
B64;JOSE MAESTRE
B65;JUAN GINER
B66;JUAN VERDEGUER
B67;JUSTO VILAR
B68;LLOMBAY
B69;MARVA
B7;ANDREU ALABARTA
B70;MENORCA
B71;MESTRE RACIONAL
B72;MINISTRO LUIS MAYANS
B73;MÚSICO AYLLON
B74;MÚSICO GINES
B75;OLTA
B76;PADRE ANTON MARTÍN
B77;PADRE PORTA
B78;PASEO MARÍTIMO
B79;PEDRO III
B8;ARQUITECTO ALFARO
B80;TRAVESÍA PESCADORES
B81;PINTOR GENARO LAHUERTA
B82;PINTOR SALVADOR ABRIL
B83;PINTOR VILAR
B84;PLATERO SUAREZ
B86;POETA MAS Y ROS
B87;POETA MONMENEU
B88;PROGRESO
B89;POBLA DEL DUC
B9;ARTES GRAFICAS
B90;POBLA LLARGA
B91;RAMON ASENSIO
B92;RAMON DUART
B93;REINA DONA GERMANA
B94;RIO TAJO
B95;RODRÍGUEZ DE CEPEDA
B96;LA SAFOR
B97;SAGASTA
B98;SANTA AMALIA
B99;SANTA RITA
