ATA,DESCRIPCION,TIPO,BARRIO,CP,SENTIDO,CARRILES,LIMITE,COMENTARIO
A250,valle de la ballestera,terciaria,campanar,46015,2,6,50,calle larga
A251,valle de la ballestera,terciaria,campanar,46015,2,6,50,calle larga
A253,yecla,terciaria,algiros,46021,2,2,40,calle larga
A254,zapadores,residencial,quatre carreres,46006,1,1,30,calle pequeña
A256,blanquerias,primaria,ciutat vella,46003,1,5,50,calle larga
A227,san vicente,secundaria,jesus,46017,1,3,50,calle larga
A230,santos justo y pastor,terciaria,algiros,46021,2,2,50,calle larga
A234,serreria,primaria,camins al grau,46022,2,6,50,calle larga
A239,tirso de molina,primaria,campanar,46009,1,6,50,avenida
A244,torre variante de la,primaria,jesus,46017,2,6,50,avenida
A248,tres forques,secundaria,patraix,46018,2,6,50,avenida
A25,archiduque carlos,secundaria,patraix,46018,2,6,50,avenida
A280,puente del angel custodio,primaria,quatre carreres,46006,2,7,50,puente
A281,puente de astilleros,secundaria,poblados maritimos,46024,2,4,40,puente
A283,juan verdaguer,secundaria,poblados maritimos,46024,2,4,50,calle larga
A302,mª cristina avda,residencial,ciutat vella,46001,1,1,30,calle pequeña
A305,ibiza,residencial,poblados maritimos,46024,2,2,30,calle pequeña
A34,avenida aragon,primaria,el pla del real,46010,2,8,50,avenida
A350,ayora,residencial,patraix,46018,1,2,30,calle pequeña
A353,san vicente,secundaria,jesus,46017,1,3,30,calle pequeña
A355,menendez pidal,primaria,campanar,46009,1,5,50,avenida
A362,general aviles,primaria,campanar,46015,2,8,50,avenida
A364,pio baroja,primaria,campanar,46015,2,4,50,calle larga
A37,avenida burjassot,secundaria,campanar,46009,1,1,30,calle pequeña
A377,maestro rodrigo,primaria,campanar,46015,2,9,50,calle larga
A379,plaza tetuan,secundaria,ciutat vella,46003,1,4,30,calle larga
A38,avenida burjassot,secundaria,campanar,46009,1,1,30,calle pequeña
A382,pio baroja,primaria,campanar,46015,2,4,50,calle larga
A384,tomas de montañana,secundaria,camins al grau,46023,2,6,50,calle larga
A297,acceso barcelona ramal de salida [de paso inferior a v-21],salida, algiros,46021,1,2,50,salida
A298,acceso de burjassot entrada,residencial,benicalap,46015,1,1,30,calle pequeña
A344,avenida constitucion,residencial,la saidia,46009,1,2,30,avenida
A349,maestro guerrero,residencial,extramuros,46008,1,2,30,calle pequeña
A357,autopista del saler (paso inferior y lateral),primaria,quatre carreres,46006,2,10,50,autopista
A360,avenida los naranjos,primaria,algiros,46022,2,8,50,avenida
A361,tres forques,secundaria,patraix,46018,2,6,50,avenida
A378,safor la,secundaria,benicalap,46015,2,8,50,calle larga
A385,campos crespo,terciaria,patraix,46017,2,2,50,calle larga
A386,sueca,residencial,l eixample,46006,1,1,30,calle pequeña
